SMOD_ID,JRC_NAME_MAIN,ISO,CNTRY_NAME,minx,miny,maxx,maxy
30_7035,Sultanpur,IND,India,82.02112979800006,26.217171102000066,82.10610005300003,26.293045754000048
30_1896,Xingyang,CHN,China,113.24172117700004,34.75391979300008,113.45621011600008,34.841080755000064
30_2870,Haimen,CHN,China,121.08939714000007,31.86181484000008,121.30625703100009,31.947890202000053
30_3019,Hui'An,CHN,China,118.71982282800002,24.946907319000047,118.93476403600005,25.089663576000078
30_9801,Limbe,MWI,Malawi,34.96653180200008,-15.865002336999964,35.11399372500006,-15.79933673499994
30_846,Caxias Do Sul,BRA,Brazil,-51.251250234999986,-29.216462768999975,-51.12162602099994,-29.114268183999968
30_11129,Hebron,PSE,Palestina,35.01434821000004,31.492034999000055,35.13052343900006,31.59517349200007
30_3808,Nazlet Rimeih,EGY,Egypt,30.869475841000053,27.298076276000074,31.039799393000067,27.408076202000075
30_9842,Windhoek,NAM,Namibia,16.999935108000045,-22.612670166999976,17.11650674300006,-22.479279145999953
30_2724,Xinghua,CHN,China,119.78099512800009,32.879470498000046,119.88837315900003,32.957267417000025
30_2435,Ezhou,CHN,China,114.80248756500009,30.317531433000056,114.92435734800006,30.437305611000056
30_7405,Mau,IND,India,83.52326697900008,25.905438408000066,83.59414957400008,25.98123634600006
30_3294,Bunia,COD,Democratic Republic of the Congo,30.209638383000026,1.5286408310000752,30.289550924000025,1.6095292460000223
30_12802,Tây Ninh,VNM,Vietnam,106.01032339100004,11.237156284000037,106.16740672600008,11.351234607000038
30_3162,Gemena,COD,Democratic Republic of the Congo,19.745484115000068,3.2114529340000217,19.815593024000066,3.2761941290000323
30_719,Vitebsk,BLR,Belarus,30.103050652000036,55.15364964500003,30.282916925000052,55.24342828400006
30_5632,Bharuch,IND,India,72.94887325600007,21.688264556000036,73.06376838100005,21.75481168500005
30_326,Liège,BEL,Belgium,5.378138734000061,50.56010369400008,5.680541137000034,50.713647165000054
